"DATA No"                         ,"X[mm]"                           ,"N[Ncm]"                          ,"jikuban"                         
       453, 7.566681E+00, 3.690000E+00,    0
       454, 7.583349E+00, 3.640000E+00,    0
       455, 7.600016E+00, 3.540000E+00,    0
       456, 7.616683E+00, 3.520000E+00,    0
       457, 7.633350E+00, 3.590000E+00,    0
       458, 7.650017E+00, 3.590000E+00,    0
       459, 7.666684E+00, 3.620000E+00,    0
       460, 7.683351E+00, 3.570000E+00,    0
       461, 7.700018E+00, 3.620000E+00,    0
       462, 7.716685E+00, 3.670000E+00,    0
       463, 7.733352E+00, 3.620000E+00,    0
       464, 7.750019E+00, 3.720000E+00,    0
       465, 7.766686E+00, 3.820000E+00,    0
       466, 7.783353E+00, 3.720000E+00,    0
       467, 7.800020E+00, 3.620000E+00,    0
       468, 7.816687E+00, 3.720000E+00,    0
       469, 7.833354E+00, 3.570000E+00,    0
       470, 7.850021E+00, 3.540000E+00,    0
       471, 7.866688E+00, 3.620000E+00,    0
       472, 7.883356E+00, 3.640000E+00,    0
       473, 7.900023E+00, 3.570000E+00,    0
       474, 7.916689E+00, 3.640000E+00,    0
       475, 7.933357E+00, 3.620000E+00,    0
       476, 7.950024E+00, 3.620000E+00,    0
       477, 7.966691E+00, 3.640000E+00,    0
       478, 7.983358E+00, 3.570000E+00,    0
       479, 8.000025E+00, 3.720000E+00,    0
       480, 8.016692E+00, 3.770000E+00,    0
       481, 8.033359E+00, 3.670000E+00,    0
       482, 8.050026E+00, 3.670000E+00,    0
       483, 8.066693E+00, 3.740000E+00,    0
       484, 8.083360E+00, 3.570000E+00,    0
       485, 8.100027E+00, 3.490000E+00,    0
       486, 8.116694E+00, 3.590000E+00,    0
       487, 8.133361E+00, 3.540000E+00,    0
       488, 8.150028E+00, 3.520000E+00,    0
       489, 8.166696E+00, 3.470000E+00,    0
       490, 8.183362E+00, 3.470000E+00,    0
       491, 8.200029E+00, 3.490000E+00,    0
       492, 8.216697E+00, 3.570000E+00,    0
       493, 8.233363E+00, 3.520000E+00,    0
       494, 8.250031E+00, 3.640000E+00,    0
       495, 8.266698E+00, 3.640000E+00,    0
       496, 8.283364E+00, 3.570000E+00,    0
       497, 8.300032E+00, 3.590000E+00,    0
       498, 8.316699E+00, 3.720000E+00,    0
